RANK,NAME,LANGUAGE,TYPE,MOST_STREAMED_GAME,2ND_MOST_STREAMED_GAME,AVERAGE_STREAM_DURATION,FOLLOWERS_GAINED_PER_STREAM,AVG_VIEWERS_PER_STREAM,AVG_GAMES_PER_STREAM,TOTAL_TIME_STREAMED,TOTAL_FOLLOWERS,TOTAL_VIEWS,TOTAL_GAMES_STREAMED,ACTIVE_DAYS_PER_WEEK,MOST_ACTIVE_DAY,DAY_WITH_MOST_FOLLOWERS_GAINED
1,kaicenat,English,personality,Just Chatting,I'm Only Sleeping,7.6,18.405,15.852,2.3,4.698,10600000,9150000,194,3.6,Friday,Saturday
2,jynxzi,English,personality,Tom Clancy's Rainbow Six Siege,NBA 2K20,5.4,3.386,1.145,1.2,8.407,5760000,1950000,54,5.6,Tuesday,Sunday
3,caedrel,English,personality,League of Legends,I'm Only Sleeping,6.3,689,12.331,1.3,6.728,797000,14200000,111,2.8,Thursday,Sunday
4,caseoh_,English,personality,NBA 2K23,Just Chatting,4.6,7.185,0,3.6,2.554,4220000,53,385,6.2,Friday,Monday
5,ibai,Spanish,personality,Just Chatting,League of Legends,4.1,8.289,190.714,1.5,6.865,15600000,359000000,149,4.3,Wednesday,Saturday
6,auronplay,Spanish,personality,Minecraft,Just Chatting,3.7,13.260,213.849,1.8,4.482,16300000,263000000,169,5,Wednesday,Sunday
7,zerator,French,personality,World of Warcraft,VALORANT,5.1,667,70.813,1.6,9.845,1570000,156000000,448,5,Sunday,Sunday
8,tarik,English,personality,VALORANT,Counter-Strike,7.6,2.013,60.430,1.3,10.995,3110000,93300000,78,3.7,Thursday,Sunday
9,riotgames,English,esports,League of Legends,League of Legends: Wild Rift,8.5,3.434,346.968,1,9.459,6860000,1339000,8,2.8,Saturday,Sunday
10,papaplatte,German,personality,Just Chatting,Minecraft,7.6,1.273,48.758,2.8,13.979,2410000,92800000,503,4.7,Wednesday,Saturday
11,dota2_paragon_ru,Russian,personality,Dota 2,,10.7,1.629,0,1,2.291,352000,0,1,2.8,Tuesday,Sunday
12,aminematue,French,personality,Grand Theft Auto V,Just Chatting,4.3,5.295,30.366,1.9,2.623,2590000,14900000,68,2.8,Monday,Saturday
13,kato_junichi0817,Japanese,personality,Apex Legends,VALORANT,6.3,546,23.768,1.2,6.700,939000,38400000,136,5.2,Saturday,Sunday
14,fps_shaka,Japanese,personality,PUBG: BATTLEGROUNDS,Apex Legends,9.6,517,49.442,1.7,23.500,1420000,136000000,311,6.3,Monday,Sunday
15,illojuan,Spanish,personality,Just Chatting,Minecraft,4.5,2.993,52.631,1.7,7.382,4090000,72000000,368,4.5,Thursday,Sunday
16,hasanabi,English,personality,Just Chatting,Grand Theft Auto V,7.4,1.201,53.092,1.5,15.811,2570000,114000000,244,6.6,Tuesday,Friday
17,montanablack88,German,personality,Just Chatting,Fortnite,4.8,3.495,107.640,2.2,7.140,5340000,156000000,114,3.8,Sunday,Tuesday
18,playapex,English,esports,Apex Legends,Variety,5.3,5.908,86.790,1,1.056,1210000,17800000,2,0.7,Monday,Friday
19,lolpacifictw,Chinese,esports,League of Legends,,5.6,634,101.849,1,2.503,281000,44900000,1,2,Saturday,Tuesday
20,pgl_dota2,English,esports,Dota 2,,10.2,1.457,111.936,1,3.421,450000,38100000,1,0.8,Saturday,Sunday
21,xqc,English,personality,Overwatch,Just Chatting,8.8,5.132,224.584,3.3,21.756,12000000,525000000,967,6.3,Wednesday,Thursday
22,loud_coringa,Portuguese,personality,Grand Theft Auto V,Just Chatting,5.8,5.358,51.440,2.6,5.903,5380000,50800000,196,5.3,Thursday,Thursday
23,raderaderader,Japanese,personality,Grand Theft Auto V,Minecraft,3.8,406,5.070,1.2,5.974,689000,8610000,172,4.1,Saturday,Sunday
24,gaules,Portuguese,esports,Counter-Strike,Among Us,22.5,2.425,235.565,2.5,52.432,4139999,405000000,211,7,Monday,Saturday
25,yuuri22,Portuguese,personality,Just Chatting,Virtual Casino,6.7,1.404,0,1.3,2.903,564000,5,19,4.2,Tuesday,Saturday
26,eliasn97,German,personality,Just Chatting,Fortnite,6.4,1.914,23.751,2.4,7.332,1880000,23300000,95,3.9,Thursday,Monday
27,lord_kebun,English,personality,Grand Theft Auto V,Call of Duty: Warzone,6.8,478,25.866,1.2,9.860,655000,35400000,66,4.1,Friday,Monday
29,zackrawrr,English,personality,World of Warcraft,Just Chatting,6.1,1.630,19.883,1.7,6.369,1790000,21800000,105,5.2,Monday,Friday
30,tumblurr,Italian,personality,Just Chatting,Grand Theft Auto V,5.3,1.172,18.224,4,7.991,1500000,23200000,466,3.9,Monday,Thursday
31,ow_esports,English,esports,Overwatch,Overwatch 2,7.2,5.493,400.009,1,7.170,1970000,240000000,2,1.4,Saturday,Saturday
32,shroud,English,personality,PUBG: BATTLEGROUNDS,VALORANT,8.0,5.394,287.440,2,16.781,10900000,571000000,354,5.4,Thursday,Thursday
